"yrplot.id","ppt","vpdmax","tmax","tmean","tot_n","tot_s","optional","L2NAME","S"
"2000_42_105_472",1100.03002929688,8.90999984741211,12.8299999237061,6.98000001907349,112.838737487793,202.412066459656,TRUE,"ATLANTIC HIGHLANDS",9
"2000_42_105_549",1070.38000488281,8.27999973297119,12.4099998474121,6.88000011444092,111.793877601624,222.792644500732,TRUE,"ATLANTIC HIGHLANDS",5
"2000_42_113_746",1154.48999023438,8.09000015258789,12.6700000762939,7.6100001335144,125.834949493408,189.073364257812,TRUE,"ATLANTIC HIGHLANDS",4
"2000_42_123_37",1140.22998046875,9.92000007629395,13.7700004577637,7.57999992370605,113.988594055176,239.956218719482,TRUE,"ATLANTIC HIGHLANDS",3
"2000_42_125_1159",987.849975585938,11.2600002288818,16.1700000762939,10.3100004196167,124.473814964294,221.473113059998,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2000_42_131_352",1034.13000488281,10.0900001525879,14.5799999237061,8.64999961853027,96.8073167800903,113.722257614136,TRUE,"MIXED WOOD PLAINS",5
"2000_42_133_974",1101.2900390625,12.039999961853,17.5,11.8299999237061,155.511852264404,150.281796455383,TRUE,"SOUTHEASTERN USA PLAINS",2
"2000_42_15_1918",955.080017089844,9.86999988555908,14,8.03999996185303,102.957798480988,122.447703838348,TRUE,"MIXED WOOD PLAINS",2
"2000_42_27_854",1095.05004882812,10.3699998855591,14.7200002670288,9,123.238532066345,200.982671737671,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2000_42_31_1935",1160.97998046875,9.85999965667725,14.1700000762939,8.35000038146973,117.832233905792,233.381460189819,TRUE,"ATLANTIC HIGHLANDS",7
"2000_42_35_1651",1108.01000976562,8.51000022888184,12.8299999237061,7.59000015258789,112.484375953674,219.725390434265,TRUE,"ATLANTIC HIGHLANDS",5
"2000_42_37_689",1098.77001953125,10.7299995422363,15.2299995422363,9.3100004196167,112.845980644226,143.441864013672,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",3
"2000_42_47_384",1162.0400390625,8.78999996185303,12.9499998092651,7.36999988555908,116.557261943817,251.033789634705,TRUE,"ATLANTIC HIGHLANDS",6
"2000_42_49_927",1265.14001464844,8.32999992370605,13.1499996185303,8.19999980926514,136.484218597412,243.827822685242,TRUE,"MIXED WOOD PLAINS",2
"2000_42_57_1244",1024.68994140625,10.3000001907349,15.1300001144409,9.94999980926514,122.7672996521,165.482484817505,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",8
"2000_42_59_1341",1047.86999511719,12.0200004577637,17.1299991607666,11.0900001525879,100.040661811829,189.68644618988,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2000_42_61_945",980.140014648438,12.1099996566772,16.3999996185303,10.1300001144409,109.62902545929,167.73077583313,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",7
"2000_42_63_736",1163.14001464844,11.4799995422363,16.3199996948242,10.4399995803833,129.083026885986,336.790738105774,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",6
"2000_42_81_345",1052.83996582031,11.3100004196167,15.1499996185303,8.69999980926514,113.164524078369,189.036458969116,TRUE,"ATLANTIC HIGHLANDS",4
"2000_42_81_766",1090.88000488281,9.8100004196167,14.4399995803833,8.75,113.543393135071,159.646577835083,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",2
"2000_42_83_1742",1149.03002929688,9,13.0299997329712,7.15999984741211,110.787664890289,229.563237190247,TRUE,"ATLANTIC HIGHLANDS",4
"2000_42_87_1488",1068.10998535156,11.1599998474121,15.710000038147,9.90999984741211,124.822394371033,173.100516319275,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",3
"2000_42_99_627",1092.31994628906,11.1199998855591,15.7399997711182,9.92000007629395,132.632730484009,156.439438819885,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",2
"2001_42_103_1660",1242.78002929688,9.47000026702881,14.3100004196167,8.8100004196167,117.003821372986,111.638418674469,TRUE,"ATLANTIC HIGHLANDS",8
"2001_42_105_1110",1047.15002441406,9.93000030517578,13.7299995422363,7.53999996185303,103.383343219757,201.881044387817,TRUE,"ATLANTIC HIGHLANDS",5
"2001_42_105_1455",1075.48999023438,9.53999996185303,13.460000038147,7.40999984741211,113.584872245789,222.016699790955,TRUE,"ATLANTIC HIGHLANDS",6
"2001_42_109_1113",1235.28002929688,10.2299995422363,14.0299997329712,7.8600001335144,134.154190063477,156.144253730774,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2001_42_117_1078",1031.4599609375,9.22000026702881,13.4200000762939,7.59000015258789,109.638151168823,186.85807800293,TRUE,"ATLANTIC HIGHLANDS",7
"2001_42_121_524",1150.86999511719,9.85000038146973,14.3000001907349,8.77999973297119,116.922125816345,224.835593223572,TRUE,"ATLANTIC HIGHLANDS",9
"2001_42_123_492",1193.80004882812,9.0600004196167,13.539999961853,8.09000015258789,121.811137199402,236.835159301758,TRUE,"MIXED WOOD PLAINS",4
"2001_42_127_826",1159.27001953125,9.15999984741211,13.1899995803833,7.34000015258789,104.340305805206,112.802105426788,TRUE,"MIXED WOOD PLAINS",5
"2001_42_129_1739",1384.97998046875,8.26000022888184,13.3599996566772,8.6899995803833,139.219408988953,363.345870018005,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2001_42_129_33",1021.34997558594,11.5699996948242,16.4400005340576,10.5699996948242,120.182367324829,204.78805065155,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2001_42_13_1619",1204.60998535156,8.67000007629395,13.1499996185303,7.61999988555908,135.041075706482,257.811989784241,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",3
"2001_42_15_1429",956.059997558594,10.3900003433228,14.5699996948242,8.52999973297119,110.428512096405,142.850811958313,TRUE,"ATLANTIC HIGHLANDS",6
"2001_42_25_571",1292.5400390625,10.8199996948242,15.6599998474121,9.64000034332275,149.054371833801,169.931955337524,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",7
"2001_42_27_1485",1081.23999023438,10.8000001907349,14.9799995422363,8.86999988555908,111.817983627319,219.460740089417,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",2
"2001_42_27_1874",1049.06994628906,10.3199996948242,14.7600002288818,9.06999969482422,123.097173690796,222.660329818726,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",7
"2001_42_29_448",1200.93994140625,11.4499998092651,17.1800003051758,11.5600004196167,170.664911270142,142.600028991699,TRUE,"SOUTHEASTERN USA PLAINS",6
"2001_42_3_244",1007.34997558594,10.8900003433228,16.0100002288818,10.460000038147,126.068488121033,211.851873397827,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",6
"2001_42_33_765",1089.56994628906,10.3999996185303,14.5500001907349,8.5600004196167,119.255126953125,247.363468170166,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",10
"2001_42_35_1930",1065.80004882812,11.3500003814697,15.4099998474121,9.13000011444092,109.863997936249,166.146989822388,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2001_42_37_1492",1194.48999023438,7.98999977111816,13.4899997711182,8.8100004196167,144.012187957764,193.029065132141,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2001_42_39_1284",1111.30004882812,8.98999977111816,13.9499998092651,8.75,123.57105922699,222.749318122864,TRUE,"MIXED WOOD PLAINS",7
"2001_42_43_1169",1147.97998046875,11.1800003051758,16.4599990844727,11,159.05096912384,156.840628623962,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",3
"2001_42_47_1607",1133.47998046875,10,13.8900003433228,7.73000001907349,110.960090637207,227.259790420532,TRUE,"ATLANTIC HIGHLANDS",8
"2001_42_5_246",1109.27001953125,10.8100004196167,15.2299995422363,9.27999973297119,109.80125951767,204.83322429657,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",6
"2001_42_51_1016",1079.69995117188,11.8699998855591,17,10.9899997711182,106.124561309814,211.845498085022,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",4
"2001_42_55_532",1060.77001953125,11.5,16,10.1599998474121,137.962691307068,166.381152153015,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",7
"2001_42_57_1174",997.349975585938,12.5200004577637,16.8299999237061,10.539999961853,114.258049964905,141.517787456512,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",9
"2001_42_61_716",1033.43994140625,11.3299999237061,16.2099990844727,10.4899997711182,129.820129394531,174.675704956055,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",8
"2001_42_65_417",1156.21997070312,9.89000034332275,14.1999998092651,8.43000030517578,113.965067386627,221.803424835205,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",3
"2001_42_79_725",1139.40002441406,10,14.7600002288818,9.09000015258789,139.341635704041,183.45977306366,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",5
"2001_42_83_1150",1167.59997558594,8.51000022888184,12.5900001525879,6.96000003814697,115.891842842102,241.450850486755,TRUE,"ATLANTIC HIGHLANDS",8
"2001_42_83_438",1105.93994140625,8.60000038146973,12.6499996185303,6.8899998664856,106.666726112366,218.24946308136,TRUE,"ATLANTIC HIGHLANDS",7
"2001_42_87_1010",1078.76000976562,9.61999988555908,14,8.56999969482422,130.694972991943,204.379849433899,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",21
"2001_42_9_529",1118.73999023438,8.96000003814697,13.8299999237061,9.05000019073486,130.682505607605,306.336740493774,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",2
